id,product_id,size,color,price_adjustment,sku
1,1,L,Verde,-10.22,SKU1LV
2,1,M,Azul,-19.36,SKU1MA
3,1,XS,Rojo,26.82,SKU1XSR
4,2,S,Azul,17.98,SKU2SA
5,2,XS,Negro,7.26,SKU2XSN
6,2,XL,Marrón,49.81,SKU2XLM
7,3,XL,Marrón,-12.93,SKU3XLM
8,3,XL,Beige,6.28,SKU3XLB
9,3,S,Gris,12.27,SKU3SG
10,3,L,Verde,3.91,SKU3LV
11,4,XL,Verde,25.51,SKU4XLV
12,4,M,Blanco,41.55,SKU4MB
13,4,XS,Gris,-4.8,SKU4XSG
14,4,XS,Verde,-19.84,SKU4XSV
15,5,M,Beige,-17.46,SKU5MB
16,5,M,Gris,-2.95,SKU5MG
17,5,XL,Blanco,37.11,SKU5XLB
18,6,S,Blanco,37.96,SKU6SB
19,6,L,Negro,-2.19,SKU6LN
20,7,L,Rojo,32.3,SKU7LR
21,7,XS,Blanco,30.79,SKU7XSB
22,7,S,Verde,44.45,SKU7SV
23,7,S,Beige,-10.61,SKU7SB
24,7,XS,Negro,4.29,SKU7XSN
25,8,M,Beige,-9.8,SKU8MB
26,8,XS,Negro,6.65,SKU8XSN
27,8,XS,Marrón,14.61,SKU8XSM
28,8,M,Azul,34.08,SKU8MA
29,9,L,Beige,-4.61,SKU9LB
30,9,XL,Gris,14.42,SKU9XLG
31,9,L,Rojo,49.48,SKU9LR
32,10,L,Negro,-13.63,SKU10LN
33,10,M,Marrón,-16.73,SKU10MM
34,10,XL,Blanco,-10.72,SKU10XLB
35,10,XL,Verde,7.28,SKU10XLV
36,11,XS,Azul,25.71,SKU11XSA
37,11,XS,Blanco,29.0,SKU11XSB
38,11,S,Marrón,-5.45,SKU11SM
39,11,M,Azul,20.15,SKU11MA
40,12,S,Blanco,12.29,SKU12SB
41,12,M,Azul,43.61,SKU12MA
42,12,M,Rojo,38.87,SKU12MR
43,13,XS,Beige,-17.72,SKU13XSB
44,13,XL,Marrón,27.17,SKU13XLM
45,14,XS,Rojo,2.99,SKU14XSR
46,14,L,Gris,-18.39,SKU14LG
47,15,XS,Verde,18.43,SKU15XSV
48,15,L,Azul,-19.56,SKU15LA
49,15,S,Azul,36.42,SKU15SA
50,15,XL,Blanco,-16.7,SKU15XLB
51,16,XL,Azul,33.38,SKU16XLA
52,16,XL,Verde,1.71,SKU16XLV
53,16,XS,Rojo,28.72,SKU16XSR
54,17,S,Verde,48.8,SKU17SV
55,17,M,Azul,35.55,SKU17MA
56,17,XL,Rojo,2.89,SKU17XLR
57,17,M,Blanco,7.23,SKU17MB
58,18,S,Azul,30.55,SKU18SA
59,18,L,Beige,30.6,SKU18LB
60,18,XS,Beige,29.42,SKU18XSB
61,19,XL,Marrón,18.84,SKU19XLM
62,19,XL,Verde,48.52,SKU19XLV
63,19,S,Verde,49.78,SKU19SV
64,19,XL,Gris,34.69,SKU19XLG
65,20,L,Gris,-14.06,SKU20LG
66,20,XL,Beige,5.52,SKU20XLB
67,21,S,Negro,24.39,SKU21SN
68,21,XS,Azul,27.6,SKU21XSA
69,21,XS,Gris,37.1,SKU21XSG
70,21,L,Blanco,-2.16,SKU21LB
71,22,XS,Rojo,35.68,SKU22XSR
72,22,M,Azul,1.2,SKU22MA
73,23,S,Blanco,-13.29,SKU23SB
74,23,L,Gris,3.23,SKU23LG
75,24,L,Verde,30.44,SKU24LV
76,24,XS,Azul,12.56,SKU24XSA
77,25,M,Verde,40.31,SKU25MV
78,25,XL,Gris,-6.85,SKU25XLG
79,26,M,Azul,16.58,SKU26MA
80,26,S,Gris,37.65,SKU26SG
81,26,XL,Blanco,5.91,SKU26XLB
82,26,XS,Blanco,-13.49,SKU26XSB
83,27,M,Beige,37.87,SKU27MB
84,27,XS,Marrón,3.11,SKU27XSM
85,27,L,Gris,40.0,SKU27LG
86,27,M,Gris,-7.05,SKU27MG
87,27,L,Beige,10.24,SKU27LB
88,28,S,Rojo,32.32,SKU28SR
89,28,XS,Negro,-4.81,SKU28XSN
90,28,XS,Marrón,24.66,SKU28XSM
91,28,M,Negro,-19.3,SKU28MN
92,29,XL,Rojo,4.64,SKU29XLR
93,29,M,Verde,33.58,SKU29MV
94,29,XS,Azul,20.24,SKU29XSA
95,30,XS,Verde,-6.79,SKU30XSV
96,30,M,Rojo,-1.33,SKU30MR
97,31,XL,Marrón,37.25,SKU31XLM
98,31,L,Azul,11.57,SKU31LA
99,32,L,Rojo,20.54,SKU32LR
100,32,XS,Blanco,44.18,SKU32XSB
101,33,S,Gris,4.26,SKU33SG
102,33,S,Beige,-10.25,SKU33SB
103,33,XL,Marrón,27.16,SKU33XLM
104,33,XS,Azul,-9.78,SKU33XSA
105,33,M,Azul,-0.3,SKU33MA
106,34,XS,Rojo,38.78,SKU34XSR
107,34,S,Verde,14.68,SKU34SV
108,34,M,Gris,29.01,SKU34MG
109,35,XL,Gris,-0.68,SKU35XLG
110,35,S,Rojo,12.83,SKU35SR
111,35,S,Gris,-9.81,SKU35SG
112,35,XS,Blanco,-5.2,SKU35XSB
113,36,XS,Marrón,21.61,SKU36XSM
114,36,XS,Azul,18.79,SKU36XSA
115,37,XL,Azul,23.02,SKU37XLA
116,37,XS,Gris,32.55,SKU37XSG
117,37,M,Rojo,-18.95,SKU37MR
118,37,XL,Rojo,2.08,SKU37XLR
119,38,M,Negro,45.74,SKU38MN
120,38,L,Blanco,22.99,SKU38LB
121,38,XL,Gris,43.24,SKU38XLG
122,39,M,Gris,-10.9,SKU39MG
123,39,XS,Marrón,45.11,SKU39XSM
124,39,L,Negro,-3.68,SKU39LN
125,40,M,Gris,5.5,SKU40MG
126,40,XL,Verde,34.3,SKU40XLV
127,40,S,Beige,35.25,SKU40SB
128,40,L,Rojo,7.95,SKU40LR
129,41,XL,Verde,-13.26,SKU41XLV
130,41,M,Azul,1.91,SKU41MA
